Name,Wonderlic Score,SB MVP(s),MVP(s),Pro Bowl MVP(s),OPOY,Passing Yards,Seasons Played,Success
Tom Savage,29,0,0,0,0,0,0,0.0
Keith Wenning,29,0,0,0,0,0,0,0.0
Jake Luton,29,0,0,0,0,0,0,0.0
Jimmy Garoppolo,29,0,0,0,0,6946,6,4.052
Dennis Dixon,29,0,0,0,0,0,0,0.0
Bill Musgrave,29,0,0,0,0,0,0,0.0
Matt Hasselbeck,29,0,0,0,0,36638,17,7.543
Logan Thomas,29,0,0,0,0,0,0,0.0
Gino Guigudli,30,0,0,0,0,0,0,0.0
Quincy Carter,30,0,0,0,0,0,0,0.0
Phillip Rivers,30,0,0,0,0,0,0,0.0
Ricky Stanzi,30,0,0,0,0,0,0,0.0
Ingle Martin,30,0,0,0,0,0,0,0.0
Josh Haldi,30,0,0,0,0,0,0,0.0
Stefan Lefors,30,0,0,0,0,0,0,0.0
Trevor Knight,30,0,0,0,0,0,0,0.0
Matt Mauck,30,0,0,0,0,0,0,0.0
Josh McCown,30,0,0,0,0,17731,18,3.448
Daniel Cobb,30,0,0,0,0,0,0,0.0
Darnell Kennedy,30,0,0,0,0,0,0,0.0
Matt Barkley,30,0,0,0,0,0,0,0.0
Josh Siple,30,0,0,0,0,0,0,0.0
Bill Burke,30,0,0,0,0,0,0,0.0
David Klingler,30,0,0,0,0,0,0,0.0
John Beck,30,0,0,0,0,0,0,0.0
Zach Mettenberger,30,0,0,0,0,0,0,0.0
Scott Rislov,30,0,0,0,0,0,0,0.0
Matt Schaub,31,0,0,1,0,25467,16,5.971
Kliff Kingsbury,31,0,0,0,0,0,0,0.0
Andrew Walton,31,0,0,0,0,0,0,0.0
JP Losman,31,0,0,0,0,0,0,0.0
Dave Ragone,31,0,0,0,0,0,0,0.0
Greg Noll,31,0,0,0,0,0,0,0.0
Connor Halliday,31,0,0,0,0,0,0,0.0
Todd Bandhauer,31,0,0,0,0,0,0,0.0
Cody Fajardo,31,0,0,0,0,0,0,0.0
Rick Mirer,31,0,0,0,0,11969,11,3.808
Trent Edwards,31,0,0,0,0,0,0,0.0
Bryce Petty,31,0,0,0,0,0,0,0.0
Justin Coleman,31,0,0,0,0,0,0,0.0
Johnny Manziel,32,0,0,0,0,0,0,0.0
Matt Ryan,32,0,1,0,1,51186,12,17.079
Girbran Hamdan,32,0,0,0,0,0,0,0.0
Joey Jarrington,32,0,0,0,0,0,0,0.0
Patrick Ramsey,32,0,0,0,0,0,0,0.0
Jesse Palmer,32,0,0,0,0,0,0,0.0
Sage Rosenfels,32,0,0,0,0,0,0,0.0
Walter Church,32,0,0,0,0,0,0,0.0
Giovanni Carmazza,32,0,0,0,0,0,0,0.0
Sam Keenan,32,0,0,0,0,0,0,0.0
Kevin Daft,32,0,0,0,0,0,0,0.0
Brian Brohm,32,0,0,0,0,0,0,0.0
Josh Woodrum,32,0,0,0,0,0,0,0.0
Tom Brady,33,4,3,0,0,74571,20,24.25
Nathan Peterman,33,0,0,0,0,0,0,0.0
Charlie Whitehurst,33,0,0,0,0,0,0,0.0
Josh Betts,33,0,0,0,0,0,0,0.0
Marcus Mariota,33,0,0,0,0,13207,5,9.245
Mike Elkins,33,0,0,0,0,0,0,0.0
Steve Young,33,1,2,0,0,33124,15,13.029
Kirk Cousins,33,0,0,0,0,24107,8,10.547
Justin Fuente,33,0,0,0,0,0,0,0.0
Joe Burrow,34,0,0,0,0,0,0,0.0
Brad Kaaya,34,0,0,0,0,0,0,0.0
Ryan Tannehill,34,0,0,0,0,23176,8,10.14
Cory Pyles,34,0,0,0,0,0,0,0.0
Sam Keller,34,0,0,0,0,0,0,0.0
Craig Ochs,34,0,0,0,0,0,0,0.0
Wes Pate,35,0,0,0,0,0,0,0.0
Aaron Rodgers,35,1,2,0,0,46946,15,16.254
